subject,title,author,appearances,score
English Literature,A Writer's Reference,Diana Hacker,8279,100
English Literature,They Say/I Say: The Moves That Matter in Academic Writing,Gerald Graff,6467,100
English Literature,The Canterbury Tales,Geoffrey Chaucer,4904,100
English Literature,Frankenstein,Mary Wollstonecraft Shelley,4789,100
English Literature,A Pocket Style Manual,Diana Hacker,4389,100
English Literature,The Yellow Wallpaper,Charlotte Perkins Gilman,3824,99
English Literature,Paradise Lost,John Milton,3781,100
English Literature,The Bedford Handbook,Diana Hacker,3714,96
English Literature,Prufrock and Other Observations,T. S. Eliot,3314,97
English Literature,Heart of Darkness,Joseph Conrad,3311,99
English Literature,The Little Seagull Handbook,Richard H. Bullock,3115,93
English Literature,The Story of an Hour,Kate Chopin,3074,95
English Literature,MLA Handbook for Writers of Research Papers,Joseph Gibaldi,3029,99
English Literature,A Rose for Emily,William Faulkner,2982,95
English Literature,The Things They Carried: A Work of Fiction,Tim O.'Brien,2710,96
English Literature,The Norton Field Guide to Writing,Richard H. Bullock,2705,90
English Literature,The Elements of Style,William Strunk,2639,100
English Literature,Rules for Writers: A Brief Handbook,Diana Hacker,2619,93
English Literature,A Good Man Is Hard to Find and Other Stories,Flannery O.'Connor,2611,92
English Literature,Easy Writer: A Pocket Reference,Andrea A. Lunsford,2518,91
English Literature,A Modest Proposal,Jonathan Swift,2491,94
English Literature,Young Goodman Brown and Other Tales,Nathaniel Hawthorne,2392,92
English Literature,Letter From the Birmingham Jail,Martin Luther King,2391,99
English Literature,Hamlet,William Shakespeare,2373,98
English Literature,Oedipus the King,Sophocles,2349,99
English Literature,The Concise Wadsworth Handbook,Laurie G. Kirszner,2232,84
English Literature,Incidents in the Life of a Slave Girl,Harriet A. Jacobs,2098,96
English Literature,Hills Like White Elephants,Ernest Hemingway,2091,88
English Literature,Their Eyes Were Watching God,Zora Neale Hurston,2053,92
English Literature,Everyday Use,Alice Walker,2043,87
English Literature,The Norton Anthology of American Literature,Nina Baym,2021,90
English Literature,Things Fall Apart,Chinua Achebe,2001,98
English Literature,Gulliver's Travels,Jonathan Swift,1982,95
English Literature,Invisible Man,Ralph Ellison,1970,94
English Literature,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,1945,98
English Literature,Beloved,Toni Morrison,1905,95
English Literature,A Room of One's Own,Virginia Woolf,1877,95
English Literature,The Odyssey,Homer,1875,98
English Literature,Inferno,Dante Alighieri,1873,95
English Literature,Jane Eyre,Charlotte Bronte,1871,95
English Literature,Bartleby the Scrivener,Herman Melville,1852,89
English Literature,The Great Gatsby,F. Scott Fitzgerald,1836,95
English Literature,The Lottery,Shirley Jackson,1828,84
English Literature,The Everyday Writer,Andrea A. Lunsford,1793,82
English Literature,To His Coy Mistress,Andrew Marvell,1731,86
English Literature,Walden,Henry David Thoreau,1720,93
English Literature,The Metamorphosis,Franz Kafka,1713,93
English Literature,Patterns for College Writing: A Rhetorical Reader and Guide,Laurie G. Kirszner,1708,76
English Literature,The Awakening,Kate Chopin,1702,90
English Literature,The Norton Anthology of English Literature,Stephen Greenblatt,1698,89
English Literature,A Vindication of the Rights of Woman,Mary Wollstonecraft,1696,97
English Literature,The Tempest,William Shakespeare,1663,94
English Literature,Pride and Prejudice,Jane Austen,1656,95
English Literature,The Souls of Black Folk,W. E. B. Du Bois,1655,99
English Literature,My Last Duchess,Robert Browning,1654,88
English Literature,Adventures of Huckleberry Finn,Mark Twain,1649,91
English Literature,The Aeneid,Virgil,1634,98
English Literature,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1594,89
English Literature,Trifles,Susan Glaspell,1574,82
English Literature,The Cask of Amontillado,Edgar Allan Poe,1566,84
English Literature,Ode on a Grecian Urn,John Keats,1552,88
English Literature,Poetics,Aristotle,1546,99
English Literature,Uncle Tom's Cabin,Harriet Beecher Stowe,1529,92
English Literature,Cathedral,Raymond Carver,1524,77
English Literature,Technical Communication,Michael H. Markel,1517,76
English Literature,Metamorphoses,Ovid,1516,96
English Literature,The Faerie Queene,Edmund Spenser,1515,87
English Literature,Antigone,Sophocles,1502,97
English Literature,Songs of Innocence and of Experience,William Blake,1495,89
English Literature,The Fall of the House of Usher,Edgar Allan Poe,1493,83
